route_name,route_id,reader_name,sequence,origin_destination_reader
Congress - Northbound,1,congress_slaughter,1,congress_slaughter$congress_wm_cannon
Congress - Northbound,1,congress_wm_cannon,2,congress_wm_cannon$congress_stassney
Congress - Northbound,1,congress_stassney,3,congress_stassney$congress_benwhite
Congress - Northbound,1,congress_benwhite,4,congress_benwhite$congress_oltorf
Congress - Northbound,1,congress_oltorf,5,congress_oltorf$congress_elizabeth
Congress - Northbound,1,congress_elizabeth,6,congress_elizabeth$riverside_congress
Congress - Northbound,1,riverside_congress,7,riverside_congress$congress_cesar_chavez
Congress - Northbound,1,congress_cesar_chavez,8,congress_cesar_chavez$congress_5th
Congress - Northbound,1,congress_5th,9,congress_5th$congress_6th
Congress - Northbound,1,congress_6th,10,congress_6th$congress_11th
Congress - Northbound,1,congress_11th,11,
Congress - Soutbound,2,congress_11th,1,congress_11th$congress_6th
Congress - Soutbound,2,congress_6th,2,congress_6th$congress_5th
Congress - Soutbound,2,congress_5th,3,congress_5th$congress_cesar_chavez
Congress - Soutbound,2,congress_cesar_chavez,4,congress_cesar_chavez$riverside_congress
Congress - Soutbound,2,riverside_congress,5,riverside_congress$congress_elizabeth
Congress - Soutbound,2,congress_elizabeth,6,congress_elizabeth$congress_oltorf
Congress - Soutbound,2,congress_oltorf,7,congress_oltorf$congress_benwhite
Congress - Soutbound,2,congress_benwhite,8,congress_benwhite$congress_stassney
Congress - Soutbound,2,congress_stassney,9,congress_stassney$congress_wm_cannon
Congress - Soutbound,2,congress_wm_cannon,10,congress_wm_cannon$congress_slaughter
Congress - Soutbound,2,congress_slaughter,11,
South 1st - Northbound,3,south_1st_slaughter,1,south_1st_slaughter$south_1st_wm_cannon
South 1st - Northbound,3,south_1st_wm_cannon,2,south_1st_wm_cannon$south_1st_stassney
South 1st - Northbound,3,south_1st_stassney,3,south_1st_stassney$south_1st_st_elmo
South 1st - Northbound,3,south_1st_st_elmo,4,south_1st_st_elmo$south_1st_benwhite
South 1st - Northbound,3,south_1st_benwhite,5,south_1st_benwhite$south_1st_oltorf
South 1st - Northbound,3,south_1st_oltorf,6,south_1st_oltorf$south_1st_barton_spring
South 1st - Northbound,3,south_1st_barton_spring,7,south_1st_barton_spring$cesar_chavez_lavaca
South 1st - Northbound,3,cesar_chavez_lavaca,8,cesar_chavez_lavaca$lavaca_5th
South 1st - Northbound,3,lavaca_5th,9,lavaca_5th$lavaca_6th
South 1st - Northbound,3,lavaca_6th,10,
South 1st - Southbound,4,lavaca_6th,1,lavaca_6th$lavaca_5th
South 1st - Southbound,4,lavaca_5th,2,lavaca_5th$cesar_chavez_lavaca
South 1st - Southbound,4,cesar_chavez_lavaca,3,cesar_chavez_lavaca$south_1st_barton_spring
South 1st - Southbound,4,south_1st_barton_spring,4,south_1st_barton_spring$south_1st_oltorf
South 1st - Southbound,4,south_1st_oltorf,5,south_1st_oltorf$south_1st_benwhite
South 1st - Southbound,4,south_1st_benwhite,6,south_1st_benwhite$south_1st_st_elmo
South 1st - Southbound,4,south_1st_st_elmo,7,south_1st_st_elmo$south_1st_stassney
South 1st - Southbound,4,south_1st_stassney,8,south_1st_stassney$south_1st_wm_cannon
South 1st - Southbound,4,south_1st_wm_cannon,9,south_1st_wm_cannon$south_1st_slaughter
South 1st - Southbound,4,south_1st_slaughter,10,
Guadalupe - Northbound,5,guadalupe_15th,1,guadalupe_15th$mlk_guadalupe
Guadalupe - Northbound,5,mlk_guadalupe,2,mlk_guadalupe$guadalupe_21st
Guadalupe - Northbound,5,guadalupe_21st,3,guadalupe_21st$guadalupe_24th
Guadalupe - Northbound,5,guadalupe_24th,4,guadalupe_24th$guadalupe_26th
Guadalupe - Northbound,5,guadalupe_26th,5,guadalupe_26th$guadalupe_27th
Guadalupe - Northbound,5,guadalupe_27th,6,
Guadalupe - Southbound,6,guadalupe_27th,1,guadalupe_27th$guadalupe_26th
